IF degree!=False AND potential<=0.8509308531143611 AND experiences<=0.26382978723404255 AND age>=20.0 THEN Class=hire ,[4758.0; 5441.0],[442; 4316; 1125],{0.0: 3741; 1.0: 2142},(0.15846935)
IF extra_degree==False THEN Class=reject ,[3767.0; 765.0],[3002; 765; 0],{0.0: 2249; 1.0: 1518},(0.07289667674728433)
IF age<=20.0 THEN Class=reject ,[4.0; 3.0],[1; 3; 0],{1.0: 4},(0.010710204081632653)
IF age>=21.0 THEN Class=hire ,[18.0; 346.0],[0; 18; 328],{0.0: 226; 1.0: 120},(1e-06)
IF TRUE THEN Class=reject ,[8547.0; 6555.0],[3445; 5102; 1453],{0.0: 6216; 1.0: 3784},(1e-06)
