IF degree!=False AND degrees<=0.8 AND age>=20.0 THEN Class=hire ,[4729.0; 5306.0],[335; 4394; 912],{0.0: 3590; 1.0: 2051},(0.15440171)
IF extra_degree==False THEN Class=reject ,[3810.0; 817.0],[2993; 817; 0],{0.0: 2226; 1.0: 1584},(0.10226367924729388)
IF experiences<=0.2765957446808511 THEN Class=hire ,[32.0; 510.0],[0; 32; 478],{0.0: 328; 1.0: 182},(0.005076293708381863)
IF experience>=1.0 THEN Class=hire ,[4.0; 33.0],[0; 4; 29],{0.0: 20; 1.0: 13},(0.06508875739644966)
IF age<=25.0 AND language_french!=False THEN Class=hire ,[0.0; 3.0],[0; 0; 3],{0.0: 3},(0.25)
IF age>=24.0 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{1.0: 3},(1e-06)
IF TRUE THEN Class=reject ,[8578.0; 6669.0],[3331; 5247; 1422],{0.0: 6167; 1.0: 3833},(1e-06)
