IF degree!=False AND potential<=0.8002996820342376 AND experiences<=0.28510638297872337 AND degrees<=0.85 THEN Class=hire ,[4684.0; 5230.0],[402; 4282; 948],{0.0: 3573; 1.0: 2059},(0.15691999999999998)
IF extra_degree==False THEN Class=reject ,[3837.0; 740.0],[3097; 740; 0],{0.0: 2267; 1.0: 1570},(0.09894449643762834)
IF age<=20.0 THEN Class=reject ,[3.0; 2.0],[1; 2; 0],{1.0: 3},(0.0052347665102620575)
IF age>=21.0 THEN Class=hire ,[36.0; 528.0],[0; 36; 492],{0.0: 326; 1.0: 202},(1e-06)
IF TRUE THEN Class=reject ,[8560.0; 6500.0],[3500; 5060; 1440],{0.0: 6166; 1.0: 3834},(1e-06)
